,CODE,ESTACION,LON,LAT,ALT
269,X213503,HUAMANI EL TAMBO GORE,-75.58928,-13.84358,863.0
270,X210003,HUANCASAYA,-69.21467,-15.14308,4325.0
271,X4AD0A030,HUARMEY,-78.16653,-10.0836,6.0
272,X47A0A5A6,HUASCACOCHA,-76.37972,-11.11333,4483.0
273,X472E112A,ILAVE,-69.62592,-16.08825,3868.0
274,X114128,ISCAHUACA,-73.27164,-14.52014,4260.0
275,X251108,JUANCITO COHIDRO,-74.86064,-6.04431,118.0
276,X107131,LA FORTUNA,-78.40242,-7.67042,3343.0
277,X114123,MARCA CUNKA,-72.06289,-14.52328,4079.0
278,X472A71F6,MARISCAL CASTILLA COHIDRO,-73.44319,-4.44806,93.0
279,X4AD0D6A0,NEPEDA,-78.35981,-9.17358,140.0
280,X221311,NUEVA ALEGRIA COHIDRO,-77.51061,-4.44161,164.0
281,X230604,NUEVA REFORMA COHIDRO,-76.15958,-5.85172,131.0
282,X111290,NANA,-76.84194,-11.98744,585.0
283,X4AD000C8,OCROS,-77.39676,-10.40312,3234.0
284,X114127,PAMPA GALERAS,-74.40361,-14.66917,3954.0
285,X472B90FE,PARIACANCHA,-76.48,-11.39139,3954.0
286,X4AD0C5D6,PASTO RURI,-77.17339,-9.8986,4901.0
287,X47E880E2,PICHARI,-73.83952,-12.52219,570.0
288,X4AD0B346,POMABAMBA,-77.46052,-8.82002,2952.0
289,X112264,PONGO DE MAINIQUE,-72.82447,-12.24986,475.0
290,X109094,PUCA PUCA,-76.5909,-9.87895,3600.0
291,X472B8388,PUCALLPA COHIDRO,-74.51953,-8.36225,145.0
292,X47A05F22,PUENTE CUPICHE,-76.60972,-11.91417,1131.0
293,X250900,PUENTE PAMPAS,-73.82737,-13.43493,1947.0
294,X152501,PUERTO ALEGRIA COHIDRO,-70.05389,-4.11492,66.0
295,X109093,PUERTO BERMUDEZ,-74.94356,-10.28619,267.0
296,X4AD086DC,PURHUAY,-77.20234,-9.31543,3463.0
297,X4AD0F04C,QUILLCAYHUANCA ,-77.44643,-9.47683,3908.0
298,X212604,RIO BLANCO,-76.25961,-11.73447,3497.0
299,X47E8201A,SALVACION,-71.36446,-12.8312,528.0
300,X112270,SAN BORJA,-77.00777,-12.10863,129.0
301,X230605,SAN LUIS COHIDRO,-75.62756,-5.07975,116.0
302,X4720EB14,SAN MARTIN,-76.76482,-9.40385,3528.0
303,X4AD0652E,SAN NICOLAS,-77.18475,-8.98039,2784.0
304,X112271,SANTA ANITA,-76.91861,-12.02611,361.0
305,X230606,SANTA ISABEL COHIDRO,-76.12297,-5.76669,127.0
306,X4725C4EA,SATIPO,-74.70028,-11.23361,1515.0
307,X109091,SAUCEPAMPA,-77.75173,-9.04586,2958.0
308,X47A0894A,SEGUE,-76.47639,-11.03444,4589.0
309,X230607,SELVA ALEGRE COHIDRO,-75.98094,-5.61622,126.0
310,X4AD095AA,SHANCAYAN,-77.52524,-9.51681,3069.0
311,X110138,SHAQUEK,-77.52504,-10.07116,2947.0
312,X472C14DE,SHEQUE SEDAPAL,-76.5075,-11.65333,3473.0
313,X4AD043C2,SHILLA,-77.62427,-9.23142,3041.0
314,X47E8B578,SIBINACOCHA,-71.01823,-13.92214,4869.0
315,X47E9040C,TAMBORAQUE,-76.30986,-11.78486,2930.0
316,X113246,TANCAYLLO,-73.68839,-13.63369,3324.0
317,X107130,TICAPAMPA,-77.90148,-7.9123,2898.0
318,X4AD0E33A,TINGUA,-77.70762,-9.18553,2601.0
319,X4721B992,UPINA,-70.08281,-13.88492,3873.0
320,X472BA564,YASO,-76.77167,-11.57833,2518.0
321,X47A06AB8,YURACMAYO LAGUNA,-76.15306,-11.83833,4319.0
322,X110137,12 DE OCTUBRE,-76.52927,-10.60641,3867.0
